Creo rete: 0x55f8cd82c260
-0.426293 2.984655 1
-1.393655 3.784439 0
0.281157 1.961527 1
-1.972049 2.852475 0
0.149191 4.719758 0
0.946440 4.612163 0
1.593608 2.836592 0
-1.943090 1.592023 0
0.402025 1.768860 1
1.097488 4.849523 0
0.019824 1.148208 1
1.784000 0.577566 1
0.309098 3.235600 1
-0.508794 4.252276 0
1.646008 3.659768 0
0.796841 1.524643 1
-0.684461 4.253983 0
-1.752734 4.495869 0
-1.027592 0.344022 1
-0.121324 3.901998 0
-1.948976 1.031395 0
0.811329 4.555790 0
1.094389 3.585298 0
-1.081750 1.870517 1
-1.716674 0.019672 1
-0.623968 2.878938 1
-1.065696 1.450041 1
0.765204 4.054253 0
1.748512 0.320512 1
0.645224 4.243151 0
1.184224 1.802581 1
-1.385765 0.624703 1
-1.154749 1.076876 1
-1.903542 2.272074 0
-0.863282 2.468917 1
-1.060743 1.484678 1
0.800249 4.688233 0
-1.167626 2.368298 1
0.618825 2.188280 1
1.391052 3.627689 0
-0.233638 0.958855 1
-0.794698 3.375832 0
-0.072883 4.963132 0
-0.055932 2.094536 1
-1.773085 0.736615 0
-0.929851 4.263923 0
0.031357 2.105481 1
1.910901 3.595760 0
0.545886 0.009199 1
-1.305734 4.603255 0
-0.017508 2.041905 1
-1.129654 0.978427 1
-0.615890 2.128401 1
0.677379 0.003669 1
1.453345 2.585539 0
0.905086 1.524633 1
0.835516 0.137985 1
1.920372 0.953290 0
-1.919106 2.330550 0
0.438261 0.384761 1
0.453732 4.385513 0
1.718947 0.606361 1
-0.807205 4.537310 0
1.361696 4.673351 0
1.637207 0.069953 1
1.421285 2.024624 0
-0.310514 0.364539 1
0.402441 3.841996 0
-0.005648 1.349775 1
1.076532 1.809621 1
1.148252 2.477023 1
0.667403 2.479709 1
0.092006 3.234719 1
0.746400 2.716125 1
-1.547785 1.480826 0
0.480709 3.632434 0
-1.306928 2.749570 0
1.391036 2.357333 0
-0.170495 3.440915 1
-0.375452 1.833390 1
0.808694 1.307291 1
1.086411 0.622726 1
-0.662536 1.861065 1
1.571777 4.164770 0
0.568673 3.310386 1
-1.220488 2.146155 1
-1.370073 4.308644 0
1.700692 3.402417 0
0.034691 3.058864 1
-1.105166 3.108633 0
1.631752 4.219428 0
-0.607147 0.406030 1
-0.424801 0.979862 1
0.210691 4.255879 0
1.536621 4.794048 0
-1.128584 2.931645 0
-1.118929 4.947284 0
0.843496 2.773168 1
-0.553321 3.019092 1
-0.449649 0.019190 1
-0.936417 2.912329 1
-0.267724 2.116887 1
-0.223222 1.791210 1
-1.584557 4.764336 0
1.880059 1.637846 0
0.298375 4.389764 0
-1.314181 4.614036 0
1.836635 2.826273 0
-1.524882 2.559157 0
-0.334278 0.014674 1
-0.117436 3.171422 1
0.357054 3.454543 1
0.494964 1.500689 1
-1.017831 4.927055 0
1.615825 3.165650 0
1.956995 0.849259 0
-1.137617 2.111590 1
0.372917 3.298952 1
1.122239 3.485450 0
0.450631 3.752873 0
-1.901363 0.936257 0
0.514110 0.980570 1
-1.559766 2.938431 0
1.045475 1.144190 1
-1.601929 0.888996 1
-1.072909 2.850793 0
1.248334 4.105182 0
-0.955731 2.179123 1
-1.515304 2.533048 0
-0.315058 0.125651 1
-1.441042 2.052422 0
-1.220072 1.776677 1
1.331209 3.941057 0
-1.939497 3.066811 0
-0.058794 3.138917 1
-0.544253 2.549803 1
1.260139 4.962322 0
0.824299 4.625467 0
0.320602 2.337217 1
-1.384275 3.398341 0
0.580970 1.928520 1
-1.000692 2.286630 1
-1.173039 2.554471 0
1.572602 1.639571 0
-1.929985 1.571930 0
-0.587822 0.786217 1
0.899481 2.740133 1
0.050315 2.788363 1
-0.655048 2.638523 1
-1.315861 4.107697 0
-1.378048 2.674857 0
-0.674000 4.852614 0
0.109743 0.187874 1
1.582464 0.537932 1
0.020072 0.247737 1
1.149018 0.751303 1
-0.258995 0.185408 1
0.430346 3.209958 1
0.191903 2.503685 1
1.879623 2.827398 0
1.260492 1.614752 1
0.890892 2.699966 1
1.483908 1.176509 1
-1.609337 1.036074 0
1.052026 1.343502 1
-1.884983 4.592472 0
1.214687 1.801271 1
1.556069 1.655538 0
-0.408684 3.923166 0
-0.245225 4.514235 0
1.336722 1.129742 1
-1.787569 1.347159 0
-0.947880 3.303471 0
1.645693 4.055029 0
-1.354276 4.406646 0
-0.494058 4.882770 0
-1.182882 0.496042 1
0.066189 0.376282 1
-0.661959 3.071064 1
-0.870115 0.487584 1
1.531653 1.556128 0
-1.935955 3.432925 0
0.685919 4.525142 0
-1.929230 0.346544 0
0.758647 2.281932 1
1.888624 2.619211 0
0.729339 0.126318 1
1.173096 4.726824 0
0.743831 3.523487 0
1.025483 4.236944 0
0.344106 0.664280 1
1.295771 3.951530 0
-1.071742 1.702449 1
1.462250 2.832875 0
1.818811 0.740168 1
0.656367 4.188080 0
-0.162963 3.400515 1
0.096804 0.653695 1
0.340526 2.709467 1
-1.199808 1.373965 1
1.993119 0.861019 0
1.194541 3.403073 0
